Source,Target,Weight
83,160,23.8462
83,213,32.1333
83,201,16.5556
83,45,11.7333
83,192,21.5
83,178,15
83,180|83,39.2759
83,20|83,222.889
83,339|83,126.273
83,222|83,116.654
83,210|83,234.917
83,340|83,120.48
83,342|83,279.25
83,84|83,223.806
83,365|83,187.235
83,238,28.3571
83,152,20
83,229,36.25
83,14,11.8333
83,149,33.7368
83,241,72.3226
83,232,24.3548
83,370,13.8824
83,198,10.75
83,371,11.5
83,113,12.6364
83,281,25.2
83,151,14.1739
83,277,18.9231
83,29,11.4
83,170,11.6667
83,355,13.8333
83,228,12.6667
83,141,11.4615
83,27,15.1667
83,124,10
83,152|83,24.8421
83,360,11
83,246,12.5833
83,235,11.4
83,212|83,101.615
83,238|83,33
83,182,23.087
83,37,20.6429
83,275,12.85
83,186,18.2963
83,244,13.5
83,164|83,66.2581
83,178|83,43.3667
83,153|83,55.2581
83,129,10
83,182|83,24
83,44,13
83,190|83,42.0323
83,266|83,19
83,26|83,34.7
83,272,11
83,145,14.8519
83,110,10
83,194,14.8824
83,162|83,27.1579
83,187,14.5
83,168,13.5909
83,242,12
83,183,12.8333
83,175,12.5
83,352,10.6
83,99,10
83,47,10.3333
83,252,33.2903
83,288,29.0645
83,230,20.2667
83,32,10
83,148,13.9615
83,192|83,35.1852
83,231,20.2581
83,262,36.129
83,226|83,26.0357
83,144,13.6429
83,257,21.6
83,279,13.5833
83,369|83,57.2759
83,381,17.2917
83,223|83,73.2581
83,236|83,18
83,156|83,34.0667
83,254,11
83,240,14.1667
83,236,14.3704
83,373,13.1176
83,146,11.875
83,313,12.4118
83,23|83,110.75
83,40,83.2258
83,60,10
83,151|83,17.25
83,314,16
83,130,10
83,249,13
83,217|83,135.882
83,38,11.8
83,166,11
83,184,12.25
83,45|83,15
83,368|83,93.9231
83,224|83,35.5217
83,158|83,45.6667
83,160|83,32.2222
83,149|83,34.3333
83,157|83,34.7931
83,211|83,100.125
83,278|83,73.1724
83,251,12.1667
83,22|83,113.042
83,259,13.9524
83,143|83,29.3077
83,181|83,38.5556
83,250,19.3448
83,225|83,31.4516
83,204|83,146.667
83,159|83,35.1667
83,273,22.5161
83,169,12.8235
83,174,15.75
83,261,15.7241
83,25|83,59.5161
83,195,11.7
83,208|83,131
83,280,11.8571
83,239,11.6875
83,229|83,38
83,341|83,73
83,281|83,21
83,191|83,64.6774
83,163|83,34.6786
83,263,27.1935
83,62,10
83,34,12.5556
83,173,10.375
83,357,11.25
83,42,10
83,161,19
83,372,11.5
83,213|83,57
